index,true_label,candidate_labels,complementary_label
89,18,"['trout'; 'bottle']",bottle
90,46,"['table'; 'orange']",orange
91,15,"['snail'; 'rose']",rose
92,35,"['orchid'; 'crocodile']",crocodile
93,69,"['pickup_truck'; 'possum']",pickup_truck
94,95,"['oak_tree'; 'pear']",pear
95,83,"['couch'; 'oak_tree']",couch
96,75,"['lizard'; 'boy']",lizard
97,99,"['rose'; 'dinosaur']",dinosaur
98,73,"['shark'; 'chair']",chair
99,93,"['table'; 'lion']",lion
100,55,"['skyscraper'; 'bicycle']",skyscraper
101,39,"['lawn_mower'; 'flatfish']",lawn_mower
102,4,"['palm_tree'; 'fox']",palm_tree
103,97,"['motorcycle'; 'crocodile']",crocodile
104,61,"['woman'; 'whale']",woman
105,93,"['lion'; 'table']",table
106,51,"['bicycle'; 'mouse']",bicycle
107,69,"['pickup_truck'; 'possum']",possum
108,56,"['willow_tree'; 'snail']",snail
109,84,"['maple_tree'; 'pickup_truck']",maple_tree
110,59,"['mountain'; 'oak_tree']",mountain
111,64,"['tractor'; 'shark']",tractor
112,94,"['boy'; 'lobster']",lobster
113,4,"['palm_tree'; 'fox']",palm_tree
114,11,"['poppy'; 'boy']",poppy
115,33,"['chimpanzee'; 'mushroom']",chimpanzee
116,68,"['bridge'; 'sea']",sea
117,38,"['sunflower'; 'rose']",sunflower
118,20,"['poppy'; 'forest']",forest
119,33,"['chimpanzee'; 'mushroom']",chimpanzee
120,34,"['chimpanzee'; 'baby']",chimpanzee
121,32,"['couch'; 'skunk']",couch
122,46,"['table'; 'orange']",orange
123,53,"['pine_tree'; 'orchid']",pine_tree
124,88,"['camel'; 'ray']",camel
125,67,"['motorcycle'; 'man']",motorcycle
126,70,"['road'; 'cup']",cup
127,64,"['shark'; 'tractor']",shark
128,53,"['pine_tree'; 'orchid']",pine_tree
129,64,"['shark'; 'tractor']",tractor
130,8,"['rose'; 'seal']",seal
131,96,"['woman'; 'sea']",woman
132,87,"['man'; 'bus']",bus
133,30,"['orchid'; 'raccoon']",orchid
134,20,"['poppy'; 'forest']",forest
135,30,"['orchid'; 'raccoon']",orchid
136,66,"['pear'; 'kangaroo']",kangaroo
137,19,"['road'; 'motorcycle']",road
138,76,"['lizard'; 'kangaroo']",lizard
139,87,"['bus'; 'man']",man
140,52,"['forest'; 'pear']",pear
141,62,"['plain'; 'crocodile']",crocodile
142,35,"['crocodile'; 'orchid']",crocodile
143,63,"['lion'; 'sweet_pepper']",sweet_pepper
144,40,"['bear'; 'tulip']",tulip
145,4,"['palm_tree'; 'fox']",palm_tree
146,99,"['rose'; 'dinosaur']",dinosaur
147,63,"['lion'; 'sweet_pepper']",sweet_pepper
148,74,"['lawn_mower'; 'man']",lawn_mower
149,53,"['pine_tree'; 'orchid']",pine_tree
150,26,"['crab'; 'pear']",pear
151,95,"['oak_tree'; 'pear']",pear
152,48,"['skunk'; 'bottle']",skunk
153,27,"['oak_tree'; 'apple']",apple
154,33,"['mushroom'; 'chimpanzee']",chimpanzee
155,29,"['sunflower'; 'girl']",sunflower
156,39,"['flatfish'; 'lawn_mower']",lawn_mower
157,79,"['butterfly'; 'spider']",butterfly
158,32,"['couch'; 'skunk']",skunk
159,46,"['table'; 'orange']",orange
160,64,"['shark'; 'tractor']",tractor
161,28,"['rabbit'; 'wolf']",rabbit
162,85,"['bus'; 'ray']",ray
163,32,"['skunk'; 'couch']",couch
164,82,"['flatfish'; 'motorcycle']",motorcycle
165,78,"['bus'; 'poppy']",poppy
166,39,"['lawn_mower'; 'flatfish']",lawn_mower
167,54,"['keyboard'; 'beaver']",beaver
168,28,"['rabbit'; 'wolf']",rabbit
169,66,"['pear'; 'kangaroo']",kangaroo
170,65,"['crab'; 'can']",can
171,72,"['camel'; 'palm_tree']",palm_tree
172,21,"['woman'; 'mouse']",mouse
173,64,"['tractor'; 'shark']",tractor
174,62,"['crocodile'; 'plain']",crocodile
175,72,"['camel'; 'palm_tree']",palm_tree
176,0,"['train'; 'flatfish']",train
177,44,"['cloud'; 'flatfish']",cloud
178,7,"['lawn_mower'; 'raccoon']",raccoon
179,12,"['bear'; 'beetle']",bear
180,19,"['road'; 'motorcycle']",motorcycle
181,11,"['boy'; 'poppy']",poppy
182,31,"['butterfly'; 'mountain']",butterfly
183,61,"['woman'; 'whale']",whale
184,79,"['butterfly'; 'spider']",butterfly
185,45,"['orange'; 'keyboard']",keyboard
186,81,"['mushroom'; 'bottle']",mushroom
187,79,"['spider'; 'butterfly']",spider
188,98,"['pine_tree'; 'pickup_truck']",pine_tree
189,43,"['bottle'; 'willow_tree']",bottle
190,46,"['table'; 'orange']",orange
191,67,"['motorcycle'; 'man']",man
192,80,"['lion'; 'flatfish']",lion
193,68,"['sea'; 'bridge']",sea
194,74,"['lawn_mower'; 'man']",man
195,48,"['skunk'; 'bottle']",skunk
196,81,"['mushroom'; 'bottle']",mushroom
197,94,"['lobster'; 'boy']",boy
198,86,"['tank'; 'lizard']",tank
199,69,"['pickup_truck'; 'possum']",Pickup truck
200,39,"['lawn_mower'; 'flatfish']",lawn_mower
201,73,"['chair'; 'shark']",chair
202,2,"['worm'; 'tractor']",worm
203,46,"['table'; 'orange']",orange
204,49,"['beetle'; 'raccoon']",beetle
205,63,"['lion'; 'sweet_pepper']",lion
206,43,"['willow_tree'; 'bottle']",bottle
207,14,"['oak_tree'; 'ray']",oak_tree
208,49,"['raccoon'; 'beetle']",raccoon
209,68,"['bridge'; 'sea']",sea
210,65,"['crab'; 'can']",crab
211,41,"['couch'; 'pine_tree']",pine_tree
212,37,"['lawn_mower'; 'cloud']",cloud
213,45,"['orange'; 'keyboard']",orange
214,36,"['clock'; 'woman']",woman
215,21,"['mouse'; 'woman']",woman
216,77,"['tulip'; 'pine_tree']",pine_tree
217,37,"['lawn_mower'; 'cloud']",cloud
218,39,"['lawn_mower'; 'flatfish']",lawn_mower
219,8,"['rose'; 'seal']",seal
220,9,"['mouse'; 'camel']",camel
221,62,"['plain'; 'crocodile']",crocodile
222,86,"['tank'; 'lizard']",lizard
223,39,"['lawn_mower'; 'flatfish']",lawn_mower
224,19,"['motorcycle'; 'road']",motorcycle
225,54,"['beaver'; 'keyboard']",beaver
226,39,"['flatfish'; 'lawn_mower']",lawn_mower
227,28,"['wolf'; 'rabbit']",wolf
228,11,"['boy'; 'poppy']",poppy
229,89,"['bear'; 'bed']",bear
230,90,"['bus'; 'road']",bus
231,90,"['road'; 'bus']",bus
232,79,"['spider'; 'butterfly']",butterfly
233,66,"['pear'; 'kangaroo']",kangaroo
234,81,"['bottle'; 'mushroom']",mushroom
235,21,"['mouse'; 'woman']",woman
236,79,"['spider'; 'butterfly']",butterfly
237,40,"['bear'; 'tulip']",tulip
238,29,"['girl'; 'sunflower']",sunflower
239,22,"['lizard'; 'possum']",lizard
240,13,"['cup'; 'bottle']",cup
241,25,"['beaver'; 'tulip']",tulip
242,11,"['poppy'; 'boy']",poppy
243,38,"['rose'; 'sunflower']",rose
244,10,"['squirrel'; 'willow_tree']",squirrel
245,96,"['sea'; 'woman']",woman
246,54,"['keyboard'; 'beaver']",beaver
247,65,"['can'; 'crab']",crab
248,39,"['lawn_mower'; 'flatfish']",lawn_mower
249,40,"['bear'; 'tulip']",bear
250,42,"['cattle'; 'skyscraper']",skyscraper
251,48,"['bottle'; 'skunk']",skunk
252,48,"['bottle'; 'skunk']",skunk
253,51,"['bicycle'; 'mouse']",bicycle
254,11,"['boy'; 'poppy']",poppy
255,23,"['dinosaur'; 'mouse']",mouse
256,23,"['dinosaur'; 'mouse']",dinosaur
257,89,"['bear'; 'bed']",bear
258,52,"['pear'; 'forest']",forest
259,46,"['table'; 'orange']",orange
260,2,"['tractor'; 'worm']",worm
261,95,"['pear'; 'oak_tree']",oak_tree
262,43,"['willow_tree'; 'bottle']",bottle
263,86,"['lizard'; 'tank']",lizard
264,34,"['baby'; 'chimpanzee']",chimpanzee
265,66,"['pear'; 'kangaroo']",pear
266,18,"['bottle'; 'trout']",bottle
267,46,"['orange'; 'table']",table
268,66,"['kangaroo'; 'pear']",pear
269,56,"['snail'; 'willow_tree']",snail
270,57,"['fox'; 'worm']",fox
271,1,"['caterpillar'; 'maple_tree']",caterpillar
272,44,"['cloud'; 'flatfish']",cloud
273,11,"['poppy'; 'boy']",poppy
274,82,"['flatfish'; 'motorcycle']",motorcycle
275,23,"['dinosaur'; 'mouse']",dinosaur
276,90,"['bus'; 'road']",bus
277,56,"['willow_tree'; 'snail']",snail
278,19,"['road'; 'motorcycle']",motorcycle
279,68,"['sea'; 'bridge']",sea
280,66,"['kangaroo'; 'pear']",pear
281,28,"['rabbit'; 'wolf']",rabbit
282,1,"['caterpillar'; 'maple_tree']",caterpillar
283,57,"['worm'; 'fox']",worm
284,67,"['man'; 'motorcycle']",motorcycle
285,5,"['apple'; 'bicycle']",bicycle
286,13,"['cup'; 'bottle']",cup
287,78,"['poppy'; 'bus']",bus
288,6,"['beetle'; 'castle']",castle
289,84,"['pickup_truck'; 'maple_tree']",pickup_truck
290,7,"['lawn_mower'; 'raccoon']",lawn_mower
291,41,"['couch'; 'pine_tree']",pine_tree
292,65,"['can'; 'crab']",crab
293,80,"['lion'; 'flatfish']",lion
294,12,"['bear'; 'beetle']",bear
295,50,"['bed'; 'otter']",otter
296,63,"['lion'; 'sweet_pepper']",sweet_pepper
297,26,"['crab'; 'pear']",pear
298,8,"['seal'; 'rose']",rose
299,53,"['pine_tree'; 'orchid']",pine_tree
300,60,"['mushroom'; 'clock']",clock
301,99,"['rose'; 'dinosaur']",dinosaur
302,97,"['motorcycle'; 'crocodile']",crocodile
303,85,"['ray'; 'bus']",bus
304,0,"['flatfish'; 'train']",train
305,78,"['bus'; 'poppy']",poppy
306,31,"['butterfly'; 'mountain']",butterfly
307,10,"['willow_tree'; 'squirrel']",squirrel
308,2,"['worm'; 'tractor']",worm
309,7,"['raccoon'; 'lawn_mower']",raccoon
310,43,"['willow_tree'; 'bottle']",bottle
311,83,"['oak_tree'; 'couch']",Oak tree
312,97,"['motorcycle'; 'crocodile']",crocodile
313,91,"['camel'; 'mouse']",camel
314,82,"['motorcycle'; 'flatfish']",motorcycle
315,28,"['wolf'; 'rabbit']",wolf
316,42,"['cattle'; 'skyscraper']",skyscraper
317,0,"['train'; 'flatfish']",train
318,82,"['motorcycle'; 'flatfish']",motorcycle
319,5,"['bicycle'; 'apple']",bicycle
320,68,"['bridge'; 'sea']",sea
321,60,"['clock'; 'mushroom']",mushroom
322,30,"['orchid'; 'raccoon']",orchid
323,98,"['pine_tree'; 'pickup_truck']",pine_tree
324,82,"['flatfish'; 'motorcycle']",motorcycle
325,20,"['forest'; 'poppy']",forest
326,64,"['tractor'; 'shark']",tractor
327,66,"['pear'; 'kangaroo']",kangaroo
328,10,"['squirrel'; 'willow_tree']",squirrel
329,75,"['boy'; 'lizard']",lizard
330,54,"['keyboard'; 'beaver']",beaver
331,57,"['worm'; 'fox']",fox
332,87,"['man'; 'bus']",bus
333,66,"['kangaroo'; 'pear']",pear
334,66,"['kangaroo'; 'pear']",pear
335,73,"['chair'; 'shark']",chair
336,54,"['beaver'; 'keyboard']",beaver
337,88,"['camel'; 'ray']",camel
338,42,"['cattle'; 'skyscraper']",skyscraper
339,37,"['cloud'; 'lawn_mower']",lawn_mower
340,80,"['lion'; 'flatfish']",lion
341,87,"['bus'; 'man']",man
342,3,"['bed'; 'cup']",cup
343,29,"['girl'; 'sunflower']",girl
344,43,"['willow_tree'; 'bottle']",bottle
345,12,"['beetle'; 'bear']",bear
346,73,"['chair'; 'shark']",chair
347,96,"['woman'; 'sea']",woman
348,23,"['mouse'; 'dinosaur']",dinosaur
349,96,"['woman'; 'sea']",sea
350,84,"['pickup_truck'; 'maple_tree']",maple_tree
351,19,"['road'; 'motorcycle']",motorcycle
352,62,"['crocodile'; 'plain']",crocodile
353,0,"['train'; 'flatfish']",train
354,21,"['mouse'; 'woman']",woman
355,11,"['poppy'; 'boy']",poppy
356,36,"['clock'; 'woman']",woman
357,64,"['tractor'; 'shark']",tractor
358,76,"['kangaroo'; 'lizard']",kangaroo
359,60,"['clock'; 'mushroom']",mushroom
360,3,"['bed'; 'cup']",cup
361,80,"['lion'; 'flatfish']",lion
362,82,"['flatfish'; 'motorcycle']",motorcycle
363,79,"['spider'; 'butterfly']",butterfly
364,26,"['pear'; 'crab']",pear
365,65,"['can'; 'crab']",crab
366,72,"['palm_tree'; 'camel']",palm_tree
367,11,"['poppy'; 'boy']",poppy
368,15,"['snail'; 'rose']",rose
369,31,"['butterfly'; 'mountain']",butterfly
370,48,"['skunk'; 'bottle']",skunk
371,12,"['beetle'; 'bear']",bear
372,91,"['camel'; 'mouse']",camel
373,71,"['lamp'; 'fox']",fox
374,87,"['bus'; 'man']",man
375,77,"['tulip'; 'pine_tree']",pine_tree
376,15,"['snail'; 'rose']",rose
377,7,"['raccoon'; 'lawn_mower']",lawn_mower
378,58,"['fox'; 'trout']",fox
379,51,"['bicycle'; 'mouse']",bicycle
380,55,"['bicycle'; 'skyscraper']",skyscraper
381,85,"['bus'; 'ray']",ray
382,2,"['worm'; 'tractor']",worm
383,3,"['bed'; 'cup']",cup
384,89,"['bear'; 'bed']",bear
385,10,"['willow_tree'; 'squirrel']",squirrel
386,3,"['cup'; 'bed']",cup
387,11,"['poppy'; 'boy']",poppy
388,20,"['forest'; 'poppy']",forest
389,4,"['palm_tree'; 'fox']",Palm tree
390,48,"['bottle'; 'skunk']",skunk
391,27,"['oak_tree'; 'apple']",apple
392,48,"['skunk'; 'bottle']",skunk
393,7,"['raccoon'; 'lawn_mower']",lawn_mower
394,67,"['man'; 'motorcycle']",motorcycle
395,3,"['cup'; 'bed']",cup
396,65,"['can'; 'crab']",crab
397,56,"['snail'; 'willow_tree']",snail
398,9,"['camel'; 'mouse']",camel
399,44,"['flatfish'; 'cloud']",cloud
400,95,"['pear'; 'oak_tree']",Oak tree
401,46,"['orange'; 'table']",orange
402,83,"['couch'; 'oak_tree']",couch
403,40,"['tulip'; 'bear']",tulip
404,58,"['trout'; 'fox']",fox
405,87,"['man'; 'bus']",bus
406,59,"['oak_tree'; 'mountain']",mountain
407,18,"['trout'; 'bottle']",trout
408,48,"['skunk'; 'bottle']",skunk
409,5,"['bicycle'; 'apple']",apple
410,88,"['camel'; 'ray']",camel
411,26,"['pear'; 'crab']",pear
412,21,"['woman'; 'mouse']",mouse
413,24,"['train'; 'lawn_mower']",train
414,53,"['orchid'; 'pine_tree']",orchid
415,68,"['sea'; 'bridge']",sea
416,49,"['raccoon'; 'beetle']",raccoon
417,89,"['bear'; 'bed']",bear
418,96,"['woman'; 'sea']",sea
419,92,"['plain'; 'worm']",worm
420,7,"['raccoon'; 'lawn_mower']",raccoon
421,13,"['bottle'; 'cup']",cup
422,99,"['dinosaur'; 'rose']",rose
423,49,"['beetle'; 'raccoon']",beetle
424,22,"['possum'; 'lizard']",possum
425,56,"['willow_tree'; 'snail']",snail
426,67,"['man'; 'motorcycle']",motorcycle
427,13,"['bottle'; 'cup']",bottle
428,97,"['crocodile'; 'motorcycle']",crocodile
429,6,"['castle'; 'beetle']",castle
430,19,"['motorcycle'; 'road']",motorcycle
431,76,"['lizard'; 'kangaroo']",lizard
432,65,"['crab'; 'can']",crab
433,9,"['camel'; 'mouse']",camel
434,71,"['fox'; 'lamp']",lamp
435,63,"['lion'; 'sweet_pepper']",lion
436,71,"['fox'; 'lamp']",lamp
437,18,"['trout'; 'bottle']",trout
438,55,"['bicycle'; 'skyscraper']",skyscraper
439,34,"['chimpanzee'; 'baby']",chimpanzee
440,18,"['trout'; 'bottle']",trout
441,0,"['train'; 'flatfish']",train
442,56,"['snail'; 'willow_tree']",snail
443,23,"['mouse'; 'dinosaur']",dinosaur
444,75,"['boy'; 'lizard']",boy
445,70,"['road'; 'cup']",cup
446,78,"['poppy'; 'bus']",bus
447,45,"['keyboard'; 'orange']",orange
448,66,"['kangaroo'; 'pear']",pear
449,91,"['mouse'; 'camel']",camel
450,25,"['beaver'; 'tulip']",beaver
451,58,"['fox'; 'trout']",fox
452,90,"['road'; 'bus']",bus
453,29,"['sunflower'; 'girl']",girl
454,68,"['bridge'; 'sea']",sea
455,35,"['orchid'; 'crocodile']",crocodile
456,54,"['beaver'; 'keyboard']",beaver
457,77,"['tulip'; 'pine_tree']",pine_tree
458,97,"['crocodile'; 'motorcycle']",crocodile
459,0,"['train'; 'flatfish']",train
460,70,"['cup'; 'road']",road
461,75,"['boy'; 'lizard']",lizard
462,60,"['mushroom'; 'clock']",clock
463,65,"['can'; 'crab']",crab
464,5,"['bicycle'; 'apple']",apple
465,58,"['trout'; 'fox']",fox
466,82,"['flatfish'; 'motorcycle']",motorcycle
467,49,"['beetle'; 'raccoon']",beetle
468,61,"['whale'; 'woman']",whale
469,28,"['rabbit'; 'wolf']",rabbit
470,44,"['flatfish'; 'cloud']",cloud
471,56,"['willow_tree'; 'snail']",snail
472,82,"['motorcycle'; 'flatfish']",motorcycle
473,61,"['whale'; 'woman']",whale
474,43,"['bottle'; 'willow_tree']",bottle
475,20,"['forest'; 'poppy']",poppy
476,38,"['sunflower'; 'rose']",sunflower
477,85,"['ray'; 'bus']",bus
478,87,"['man'; 'bus']",bus
479,49,"['raccoon'; 'beetle']",raccoon
480,85,"['bus'; 'ray']",ray
481,24,"['train'; 'lawn_mower']",train
482,7,"['lawn_mower'; 'raccoon']",raccoon
483,88,"['camel'; 'ray']",camel
484,40,"['tulip'; 'bear']",bear
485,38,"['sunflower'; 'rose']",sunflower
486,72,"['camel'; 'palm_tree']",palm_tree
487,56,"['snail'; 'willow_tree']",snail
488,4,"['palm_tree'; 'fox']",palm_tree
489,81,"['mushroom'; 'bottle']",mushroom
490,98,"['pine_tree'; 'pickup_truck']",pine_tree
491,97,"['motorcycle'; 'crocodile']",crocodile
492,14,"['oak_tree'; 'ray']",oak_tree
493,46,"['table'; 'orange']",orange
494,23,"['dinosaur'; 'mouse']",mouse
495,89,"['bear'; 'bed']",bear
496,86,"['tank'; 'lizard']",lizard
497,83,"['couch'; 'oak_tree']",couch
498,54,"['beaver'; 'keyboard']",beaver
499,27,"['oak_tree'; 'apple']",apple
500,41,"['couch'; 'pine_tree']",pine_tree
501,96,"['sea'; 'woman']",woman
502,1,"['caterpillar'; 'maple_tree']",maple_tree
503,81,"['mushroom'; 'bottle']",mushroom
504,79,"['spider'; 'butterfly']",butterfly
505,30,"['orchid'; 'raccoon']",orchid
506,17,"['turtle'; 'crocodile']",turtle
507,14,"['oak_tree'; 'ray']",oak_tree
508,67,"['motorcycle'; 'man']",man
509,20,"['forest'; 'poppy']",forest
510,54,"['beaver'; 'keyboard']",beaver
511,92,"['worm'; 'plain']",worm
512,33,"['mushroom'; 'chimpanzee']",mushroom
513,57,"['fox'; 'worm']",fox
514,65,"['crab'; 'can']",can
515,49,"['beetle'; 'raccoon']",beetle
516,71,"['lamp'; 'fox']",lamp
517,59,"['mountain'; 'oak_tree']",mountain
518,85,"['ray'; 'bus']",bus
519,22,"['possum'; 'lizard']",possum
520,31,"['butterfly'; 'mountain']",butterfly
521,85,"['ray'; 'bus']",bus
522,17,"['crocodile'; 'turtle']",crocodile
523,42,"['skyscraper'; 'cattle']",skyscraper
524,62,"['plain'; 'crocodile']",crocodile
525,26,"['pear'; 'crab']",pear
526,60,"['clock'; 'mushroom']",mushroom
527,27,"['apple'; 'oak_tree']",apple
528,57,"['worm'; 'fox']",fox
529,19,"['road'; 'motorcycle']",motorcycle
530,97,"['crocodile'; 'motorcycle']",motorcycle
531,88,"['ray'; 'camel']",ray
532,10,"['squirrel'; 'willow_tree']",squirrel
533,31,"['butterfly'; 'mountain']",butterfly
534,23,"['dinosaur'; 'mouse']",dinosaur
535,84,"['pickup_truck'; 'maple_tree']",pickup_truck
536,74,"['man'; 'lawn_mower']",man
537,63,"['lion'; 'sweet_pepper']",sweet_pepper
538,94,"['lobster'; 'boy']",boy
539,77,"['pine_tree'; 'tulip']",tulip
540,90,"['road'; 'bus']",bus
541,60,"['clock'; 'mushroom']",mushroom
542,5,"['apple'; 'bicycle']",bicycle
543,1,"['caterpillar'; 'maple_tree']",caterpillar
544,61,"['woman'; 'whale']",whale
545,95,"['oak_tree'; 'pear']",oak_tree
546,32,"['skunk'; 'couch']",couch
547,95,"['oak_tree'; 'pear']",pear
548,57,"['worm'; 'fox']",fox
549,32,"['skunk'; 'couch']",skunk
550,23,"['mouse'; 'dinosaur']",dinosaur
551,39,"['flatfish'; 'lawn_mower']",lawn_mower
552,45,"['orange'; 'keyboard']",orange
553,41,"['pine_tree'; 'couch']",pine_tree
554,69,"['pickup_truck'; 'possum']",Pickup truck
555,89,"['bed'; 'bear']",bear
556,45,"['keyboard'; 'orange']",keyboard
557,47,"['raccoon'; 'tank']",raccoon
558,57,"['fox'; 'worm']",fox
559,11,"['poppy'; 'boy']",poppy
560,48,"['bottle'; 'skunk']",skunk
561,74,"['lawn_mower'; 'man']",lawn_mower
562,2,"['worm'; 'tractor']",tractor
563,11,"['boy'; 'poppy']",poppy
564,95,"['oak_tree'; 'pear']",oak_tree
565,50,"['bed'; 'otter']",otter
566,37,"['lawn_mower'; 'cloud']",cloud
567,59,"['mountain'; 'oak_tree']",mountain
568,71,"['fox'; 'lamp']",lamp
569,84,"['maple_tree'; 'pickup_truck']",maple_tree
570,89,"['bear'; 'bed']",bear
571,84,"['pickup_truck'; 'maple_tree']",pickup_truck
572,70,"['road'; 'cup']",cup
573,16,"['train'; 'oak_tree']",train
574,71,"['fox'; 'lamp']",lamp
575,8,"['rose'; 'seal']",seal
576,48,"['skunk'; 'bottle']",skunk
577,31,"['mountain'; 'butterfly']",butterfly
578,98,"['pickup_truck'; 'pine_tree']",Pine tree
579,32,"['skunk'; 'couch']",couch
580,2,"['tractor'; 'worm']",worm
581,74,"['man'; 'lawn_mower']",man
582,62,"['plain'; 'crocodile']",crocodile
583,71,"['lamp'; 'fox']",fox
584,90,"['bus'; 'road']",bus
585,34,"['baby'; 'chimpanzee']",chimpanzee
586,51,"['mouse'; 'bicycle']",bicycle
587,0,"['flatfish'; 'train']",train
588,12,"['beetle'; 'bear']",bear
589,26,"['crab'; 'pear']",pear
590,57,"['worm'; 'fox']",worm
591,62,"['plain'; 'crocodile']",crocodile
592,57,"['worm'; 'fox']",worm
593,31,"['mountain'; 'butterfly']",butterfly
594,65,"['can'; 'crab']",crab
595,32,"['couch'; 'skunk']",couch
596,16,"['oak_tree'; 'train']",train
597,35,"['orchid'; 'crocodile']",crocodile
598,98,"['pine_tree'; 'pickup_truck']",pine_tree
599,11,"['poppy'; 'boy']",poppy
600,87,"['bus'; 'man']",bus
601,38,"['sunflower'; 'rose']",sunflower
602,52,"['pear'; 'forest']",pear
603,89,"['bear'; 'bed']",bear
604,40,"['bear'; 'tulip']",bear
605,76,"['lizard'; 'kangaroo']",lizard
606,7,"['raccoon'; 'lawn_mower']",raccoon
607,54,"['beaver'; 'keyboard']",beaver
608,76,"['kangaroo'; 'lizard']",kangaroo
609,30,"['orchid'; 'raccoon']",orchid
610,59,"['oak_tree'; 'mountain']",mountain
611,84,"['maple_tree'; 'pickup_truck']",maple_tree
612,3,"['cup'; 'bed']",cup
613,91,"['camel'; 'mouse']",camel
614,46,"['table'; 'orange']",orange
615,65,"['crab'; 'can']",crab
616,43,"['willow_tree'; 'bottle']",bottle
617,49,"['beetle'; 'raccoon']",beetle
618,6,"['beetle'; 'castle']",castle
619,33,"['mushroom'; 'chimpanzee']",chimpanzee
620,5,"['bicycle'; 'apple']",apple
621,14,"['oak_tree'; 'ray']",oak_tree
622,77,"['pine_tree'; 'tulip']",pine_tree
623,44,"['cloud'; 'flatfish']",cloud
